,Question,1,2,3,4,5
0,"Case report: severe ethylene glycol intoxication with normal osmolal gap--""a chilling thought"".
 This is a case of a 23-year-old male presenting with altered sensorium, vomiting, and right flank pain.
 Despite a normal osmolal gap, he was found to be suffering from ethylene glycol intoxication.
 This little-described presentation can result in the clinician failing to consider ethylene glycol as a causative agent.
",0,0,0,1,0
1,"Introduction of nerve growth factor (NGF) receptors into a medulloblastoma cell line results in expression of high- and low-affinity NGF receptors but not NGF-mediated differentiation.
 Expression of the cloned human nerve growth factor receptor (NGFR) cDNA in cell lines can generate both high- and low-affinity binding sites.
 Since the inability to respond appropriately to differentiation factors such as NGF may contribute to determining the malignant phenotype of neuroblastomas, we sought to determine whether the same is true of medulloblastomas.
 To generate a human central nervous system neuronal cell line that would respond to NGF, we infected the medulloblastoma cell line D283 MED with a defective retrovirus carrying the cDNA coding for the human NGFR.
 The resultant cells (MED-NGFR) expressed abundant low- and high-affinity NGFRs, and NGF treatment induced a rapid transient increase of c-fos mRNA in the NGFR-expressing cells but not in the parent line or in cells infected with virus lacking the cDNA insert.
 However, the MED-NGFR cells did not internalize the NGFR at high efficiency, nor did they differentiate in response to NGF.
 Three important conclusions emerge from this study: (i) internalization of NGFRs is not necessary for some early rapid transcriptional effects of NGF; (ii) an unknown factor(s) that cooperates with the cloned NGFR in allowing high-affinity NGF binding is found in a primitive central nervous system cell line; and (iii) NGFRs introduced into and expressed by D283 MED (i.e., MED-NGFR) cells are partially functional but are unable to induce differentiation in these primitive neuron-like tumor cells, implying that high-efficiency receptor-mediated endocytosis of NGF and its receptor may be a necessary step in the cascade of events leading to NGF-mediated differentiation.
",1,0,0,0,0
2,"Improvement in early diastolic filling dynamics after aortic valve replacement.
 With use of ultrafast computed tomography, 13 patients undergoing aortic valve replacement for aortic stenosis were prospectively followed to evaluate the relation between left ventricular mass and diastolic function.
 Studies were done before intervention, and then at 4 and 8 months later.
 Mass decreased from 161 +/- 11 g/m2 (+/- standard error of the mean) at baseline to 106 +/- 5 g/m2, and then to 97 +/- 7 g/m2 at 4 and 8 months, respectively, in 12 patients who demonstrated significant (greater than 20%) mass regression after operation.
 One patient failed to show significant changes in mass.
 Diastolic function, as defined by the peak filling rate of early diastole, improved (p less than 0.02) in the group with mass regression, from 2.11 +/- 0.17 s-1 at baseline to 2.12 +/- 0.23 s-1, and then to 2.62 +/- 0.26 s-1 at 4 and 8 months, respectively.
 Improvement in the time to peak filling rate was also noted.
 Heart rates were unchanged, whereas end-diastolic volumes decreased and ejection fractions increased slightly.
 Postoperative increase in peak filling rate correlated with regression of ventricular mass to within normal range (+/- 2 standard deviations) and attainment of New York Heart Association class I status by 8 months (p less than 0.02).
 Thus, improvement in diastolic function can be seen after aortic valve surgery and is associated with improved functional class.
 Diastolic function improves later than the regression in wall mass and may imply a delayed remodeling of the ventricle.
",0,0,1,0,0
3,"Bioenergetic recovery processes of injured myocardium.
 We employed cervically transplanted nonworking myocardium to simulate the condition of a heart supported by a ventricular assist device, and to investigate the bioenergetic recovery processes of injured myocardium with 31P nuclear magnetic resonance (NMR) techniques.
 A heterotopic graft was placed in the cervical portion of a recipient rat.
 One week later, a control 31P NMR spectrum was obtained from the graft.
 On the same day, the aorta of the graft was clamped for 30 minutes at room temperature.
 After this procedure, 31P NMR measurements of the graft were performed for 1 week.
 The phosphocreatine (PCr)/Inorganic phosphate (Pi) ratio, and beta-phosphate from adenosine triphosphate (beta-ATP)/Pi ratio on the first and second day after injury were significantly lower than control (p less than 0.05).
 However, these ratios recovered to a significant extent on the third and fourth day.
 These results suggest that 3 or 4 days are required for bioenergetic recovery of reversibly injured myocardium, even under nonworking conditions.
",0,0,1,0,0
4,"Metabolism of human gliomas: assessment with H-1 MR spectroscopy and F-18 fluorodeoxyglucose PET 
 Localized hydrogen-1 magnetic resonance (MR) spectroscopy and fluorine-18 fluorodeoxyglucose (FDG) positron emission tomography (PET) were employed to obtain metabolic information from intracranial gliomas.
 Advantages and difficulties associated with comparison of results from the two modalities were realized.
 Forty patients were studied with H-1 MR spectroscopy.
 MR signal intensities from lactate, N-acetylaspartate (NAA), choline, and creatine from a volume of interest containing the tumor and a contralateral volume were obtained and evaluated.
 NAA signal intensities were generally decreased in the tumor spectra, and choline signal intensities were elevated.
 H-1 MR spectroscopy was unsuccessful in eight patients, and FDG PET scans were not obtained in four of the patients with successful MR spectroscopic examinations.
 Lactate signal intensity was detected in 10 of the 28 patients who had successful H-1 MR spectroscopic and FDG PET studies.
 Lactate signal intensities were observed in lesions shown at FDG PET to be hypermetabolic, as well as in lesions found to be hypometabolic.
",1,0,0,0,0
5,"Biliary and gut function following shock.
 The aim of this study was to characterize the alterations in gallbladder and intestinal function after hemorrhagic shock and blood reperfusion in opossums.
 Animals were subjected to a shock of 30 mm Hg of arterial blood pressure for 60 minutes and resuscitated with blood reinfusion.
 Gallbladder epithelial ion transport, gallbladder motility in vitro and in vivo, gastrointestinal motility, and flora of the stomach and small bowel were studied 2 and 24 hours after shock.
 Changes at 2 hours included decreased gallbladder contractility in vitro and decreased emptying in vivo, loss of coordination with intestinal motor activity, decrease in frequency of intestinal electrical slow waves, and reduced duration of the intestinal migrating motor complex cycle.
 By 24 hours, gallbladder epithelial permeability was increased and in vitro contractility remained reduced but the in vivo functions showed partial recovery.
 Gastrointestinal flora was not affected by these changes.
 These data demonstrate that hemorrhagic shock and reperfusion affect digestive motility.
 The early timing of the alterations observed and the partial recovery 24 hours post shock suggest an ischemia-hypoxia mechanism of injury.
",0,0,0,0,1
6,"Alterations in brain electrical activity may indicate the onset of malignant hyperthermia in swine.
 The time course of changes in brain electrical activity during halothane anesthesia was examined in 12 malignant hyperthermia-susceptible (MHS) and 14 normal (nMHS) swine.
 Power densities in selected frequency bands were calculated from the electroen-cephalogram (EEG).
 EEG and systemic variables were determined over a period of 60 min after starting halothane (1% inspired).
 Malignant hyperthermia (MH) was triggered in all susceptible pigs.
 Initial changes in the EEG during development of MH consisted of a decrease in total power and a shift to lower frequencies (delta-theta activity) in all animals.
 These EEG alterations were noted when there was an increase in heart rate, but other systemic variables were still normal.
 EEG changes in all MHS animals started at an arterial oxygen tension (PaO2) greater than 90 mmHg and an arterial carbon dioxide tension (PaCO2) less than 50 mmHg.
 In 5 MHS animals EEG became isoelectric at a PaO2 of 61-82 mmHg and a PaCO2 of 53-68 mmHg.
 Mean arterial blood pressure at this time was 54-66 mmHg.
 To determine the effects of hypoxia on the EEG in 7 nMHS animals, oxygen was decreased over a period of 45-60 min to 7% inspired.
 In 7 other nMHS animals, hypercarbia was produced by admixture of carbon dioxide to the fresh gas supply to achieve incremental increases of PaCO2 to 110-120 mmHg.
 Significant EEG changes during hypoxia comparable to those seen at the onset of MH were noted at a PaO2 below 40 mmHg and during hypercarbia at a PaCO2 greater than 68 mmHg.
",0,0,0,0,1
7,"Prostaglandins, the kidney, and hypertension 
 Prostaglandins are part of the family of oxygenated metabolites of arachidonic acid known collectively as eicosanoids.
 While they are formed, act, and are inactivated locally and rarely circulate in plasma, they can affect blood flow in some tissues and so might contribute to the control of peripheral vascular resistance.
 Few studies have shown any derangement of total body prostaglandin synthesis or metabolism in hypertension, but increased renal synthesis of one prostanoid, thromboxane A2, has been noted in spontaneously hypertensive rats and some hypertensive humans.
 This potent vasoconstrictor may account for the increased renal vascular resistance and suppressed plasma renin activity seen in many patients with hypertension.
 Increased renal vascular resistance could increase the blood pressure directly as a component of total peripheral resistance or indirectly by increasing glomerular filtration fraction and tubular sodium reabsorption.
 Specific thromboxane synthesis inhibitors not only decrease renal thromboxane production but also increase renal vasodilator prostaglandin synthesis when prostaglandin synthesis is stimulated.
 This redirection of renal prostaglandin synthesis toward prostacyclin might be of benefit in correcting a fundamental renal defect in patients with hypertension.
",0,0,1,0,0
8,"Relation between transcardiac and transthoracic current during defibrillation in humans.
 Conceptually, transthoracic defibrillation threshold current can be considered a function of at least two quantities.
 It is directly proportional to the transcardiac threshold current and inversely proportional to the transcardiac current fraction (FC) or the ratio of transcardiac and transthoracic current.
 Although experimental and theoretical estimates of FC have been as high as 45%, previous measurements in humans have not been made.
 This study was designed to quantify FC in humans.
 During intraoperative testing of the automatic implantable cardioverter defibrillator, transthoracic rescue shocks of 200-400 J were delivered when the device failed to defibrillate.
 Simultaneous transthoracic voltage (VT) and transcardiac voltage (VC) between two implanted epicardial patch electrodes were measured.
 The ratio, VC/VT, was 0.04 +/- 0.03 (mean +/- SD) in 10 patients.
 In 16 dogs, a comparison was made between direct measurement of FC and VC/VT.
 FC was determined with a specially designed electrode system, which was calibrated to account for field distortion introduced by the electrodes.
 There was no significant difference between FC and VC/VT, which were both approximately 0.05, suggesting that VC/VT was statistically equivalent to FC.
 The results of this study, therefore, indicate that during transthoracic defibrillation in humans, approximately 4% of transthoracic current traverses the heart.
 This relatively small percentage of current results from the existence of parallel pathways, such as the thoracic cage and lungs, which shunt current around the heart.
",0,0,0,0,1
9,"Pharmacology of angiotensin-converting enzyme inhibitors as a guide to their use in congestive heart failure.
 The pharmacokinetics of the angiotensin-converting enzyme (ACE) inhibitors are difficult to assess for several reasons.
 First, these compounds exert their influence by inhibiting an intermediary enzyme of a cascade of enzymatic events, whose rate-limiting enzyme (renin) is not directly affected by ACE inhibition.
 Second, renin and angiotensin I accumulate during ACE inhibition and a change in the dose of an ACE inhibitor could produce sudden shifts of angiotensin I to angiotensin II.
 Third, components of the circulating renin system require the interaction of several organ systems and effector sites.
 Fourth, the kinetics of ACE inhibitors can be influenced by the organ systems responsible for drug absorption, metabolism and excretion, and the functional status of these systems can be affected by the heart failure process.
 Fifth, at least some portion of the cardiovascular effects of ACE inhibitors is influenced by the contributions of other systems whose physiologic effects may be of importance in some patients with congestive heart failure.
 Sixth, the potential impact of tissue-bound ACE is not yet fully understood.
 Finally, for appropriate drug dosing, the effects of aging on the heart failure process, the extent of renin system activity, and the disposition of ACE inhibitors need to be considered.
 Because of their complex pharmacokinetics, treatment with ACE inhibitors has been guided by their pharmacodynamic and clinical characteristics.
",0,0,1,0,0
10,"Transfer of secretory proteins from the endoplasmic reticulum to the Golgi apparatus: discrimination between homologous and heterologous transfer in intact heterokaryons.
 To examine aspects of the transfer of secretory proteins from the endoplasmic reticulum to the Golgi apparatus in situ, heterokaryons were formed between Hep G2 human hepatoma cells and WI-38 human fibroblasts.
 The cells were appropriately treated with cycloheximide before fusion, which emptied them of their respective secretory proteins, serum albumin for the Hep G2 cells and procollagen I for the WI-38 cells.
 After fusion was complete, the cycloheximide was washed out, protein synthesis was resumed, and the rates of reappearance of serum albumin and procollagen I in the two separated Golgi apparatuses within each heterokaryon were followed by immunofluorescence microscopy.
 Serum albumin was found to always reappear first in the Golgi apparatus contributed by the Hep G2 half of the heterokaryon, and procollagen I in the Golgi apparatus of the WI-38 half.
 These results suggest that the endoplasmic reticulum-to-Golgi apparatus transfer in situ is not simply a stochastic process but is either spatially restricted or exhibits cell-type specificity or both.
",1,0,0,0,0
11,"Left main percutaneous transluminal coronary angioplasty with the autoperfusion catheter in an animal model.
 Left main coronary angioplasty is associated with high risk because of interruption of blood flow to much of the left ventricle during balloon inflation.
 An ""autoperfusion"" balloon angioplasty catheter that allows blood to flow passively distal to an inflated balloon was tested in dogs and compared with inflations with standard balloon catheters.
 During 3 min occlusions of the left main coronary artery with the autoperfusion catheter, regional myocardial blood flow was preserved at 0.60 +/- 0.14 ml/min/g, compared with 0.07 +/- 0.03 ml/min/g during inflation with standard balloon catheters (P less than 0.01).
 Similarly, at the end of 3 min of inflation, left ventricular systolic pressure and dP/dt were maintained with autoperfusion catheter inflation, but they were severely depressed after standard angioplasty balloon inflation.
 All seven dogs survived autoperfusion balloon inflation, whereas five of seven developed sustained ventricular tachycardia and/or ventricular fibrillation during or after standard balloon inflation.
 Thus, distal blood flow, hemodynamics, and survival were preserved during autoperfusion balloon inflation in the left main coronary artery.
",0,0,1,0,0
12,"Audiometric and subjective assessment of hearing handicap.
 This study compares self-perceived assessment of hearing handicap with audiometrically derived measures of hearing handicap in a sample of elderly persons.
 Subjects were evaluated by traditional audiometric tests, the Speech Perception in Noise test, and the Hearing Handicap Inventory for the Elderly, a self-assessment questionnaire.
 Hearing handicap was also calculated by the audiometrically derived American Academy of Otolaryngology (1979) method.
 Our results are consistent with other studies that indicate a low correspondence between audiometric measures of hearing handicap and self-assessment of hearing handicap.
 Furthermore, if the Hearing Handicap Inventory for the Elderly is considered the true measure of hearing handicap, our data indicate that the American Academy of Otolaryngology method tends to overestimate handicap among persons with no self-perceived hearing handicap and underestimates handicap among persons with significant self-perceived hearing handicap.
",0,0,0,0,1
13,"Recurrent cyanotic episodes with severe arterial hypoxaemia and intrapulmonary shunting: a mechanism for sudden death 
 The pathophysiology of recurrent cyanotic episodes has been investigated in 51 infants and children.
 Episodes began at a median age of 7 weeks (range 1 day to 22 months, 39 at less than 4 months).
 They were characterised by the rapidity of onset and progression of severe hypoxaemia with early loss of consciousness from cerebral hypoxia.
 The most common precipitating factor was a sudden naturally occurring stimulus from pain, fear, or anger.
 In uncontrolled trials, cyanotic episodes were reduced in frequency and severity by tetrabenazine (n = 15) and additional inspired oxygen (n = 10).
 Eight patients died suddenly and unexpectedly (four during cyanotic episodes).
 Twenty eight patients underwent physiological studies during cyanotic episodes.
 There was no evidence of seizure activity at the onset and although prolonged absence of inspiratory effort with continued expiratory efforts was common, breathing sometimes continued.
 Episodes were not caused by upper airway obstruction and sometimes occurred during positive airway pressure ventilation.
 The rapidity of fall in arterial oxygen pressure and continued breathing suggested a right to left shunt of sudden onset.
 The results of contrast echocardiography and lung imaging studies confirmed that this was occurring within the lungs.
 These cyanotic episodes included both intrapulmonary shunting and prolonged expiratory apnoea.
 They are best explained by interactions between central sympathetic activity, brainstem control of respiration and vasomotor activity, reflexes arising from around and within the respiratory tract, and the matching of ventilation to perfusion in the lungs.
 They are a cause of sudden unexpected death in infancy and early childhood.
",0,0,0,0,1
